Name,Tera Type,G-Atk,G-Def,GOOD,Ok,Bad,Weak To,Types
Floragato,Fairy,Any,Def,"Poison, Steel",,"Ground, Rock, Water","Poison, Steel",Grass
Meowscarada,Normal,Any,Def,Fighting,,"Ghost, Psychic, Ground, Rock, Water",Fighting,"Dark, Grass"
Meowscarada,Fighting,Any,Def,"Flying, Fairy",,"Ghost, Psychic, Ground, Rock, Water","Flying, Psychic, Fairy","Dark, Grass"
Meowscarada,Flying,Any,Def,,"Electric, Ice","Ghost, Psychic, Ground, Rock, Water","Rock, Electric, Ice","Dark, Grass"
Meowscarada,Poison,Any,Def,,,"Ghost, Psychic, Ground, Rock, Water","Ground, Psychic","Dark, Grass"
Meowscarada,Ground,Any,Def,Grass,Ice,"Ghost, Psychic, Ground, Rock, Water","Water, Grass, Ice","Dark, Grass"
Meowscarada,Rock,Any,Def,"Fighting, Steel, Grass",,"Ghost, Psychic, Ground, Rock, Water","Fighting, Ground, Steel, Water, Grass","Dark, Grass"
Meowscarada,Bug,Any,Def,"Flying, Fire",,"Ghost, Psychic, Ground, Rock, Water","Flying, Rock, Fire","Dark, Grass"
Meowscarada,Ghost,Any,Def,Dark,,"Ghost, Psychic, Ground, Rock, Water","Ghost, Dark","Dark, Grass"
Meowscarada,Steel,Any,Def,"Fighting, Fire",,"Ghost, Psychic, Ground, Rock, Water","Fighting, Ground, Fire","Dark, Grass"
Meowscarada,Fire,Any,Def,,,"Ghost, Psychic, Ground, Rock, Water","Ground, Rock, Water","Dark, Grass"
Meowscarada,Water,Any,Def,Grass,Electric,"Ghost, Psychic, Ground, Rock, Water","Grass, Electric","Dark, Grass"
Meowscarada,Grass,Any,Def,"Flying, Poison, Bug, Fire",Ice,"Ghost, Psychic, Ground, Rock, Water","Flying, Poison, Bug, Fire, Ice","Dark, Grass"
Meowscarada,Electric,Any,Def,,,"Ghost, Psychic, Ground, Rock, Water",Ground,"Dark, Grass"
Meowscarada,Psychic,Any,Def,"Bug, Dark",,"Ghost, Psychic, Ground, Rock, Water","Bug, Ghost, Dark","Dark, Grass"
Meowscarada,Ice,Any,Def,"Fighting, Steel, Fire",,"Ghost, Psychic, Ground, Rock, Water","Fighting, Rock, Steel, Fire","Dark, Grass"
Meowscarada,Dragon,Any,Def,"Dragon, Fairy",Ice,"Ghost, Psychic, Ground, Rock, Water","Ice, Dragon, Fairy","Dark, Grass"
Meowscarada,Dark,Any,Def,"Fighting, Bug, Fairy",,"Ghost, Psychic, Ground, Rock, Water","Fighting, Bug, Fairy","Dark, Grass"
Meowscarada,Fairy,Any,Def,"Poison, Steel",,"Ghost, Psychic, Ground, Rock, Water","Poison, Steel","Dark, Grass"
Fuecoco,Normal,SpA,SpD,,Fighting,"Bug, Steel, Grass, Ice",Fighting,Fire
Fuecoco,Fighting,SpA,SpD,,"Flying, Psychic, Fairy","Bug, Steel, Grass, Ice","Flying, Psychic, Fairy",Fire
Fuecoco,Flying,SpA,SpD,Rock,Electric,"Bug, Steel, Grass, Ice","Rock, Electric, Ice",Fire
Fuecoco,Poison,SpA,SpD,,"Ground, Psychic","Bug, Steel, Grass, Ice","Ground, Psychic",Fire
Fuecoco,Ground,SpA,SpD,Water,,"Bug, Steel, Grass, Ice","Water, Grass, Ice",Fire
Fuecoco,Rock,SpA,SpD,Water,"Fighting, Ground","Bug, Steel, Grass, Ice","Fighting, Ground, Steel, Water, Grass",Fire
Fuecoco,Bug,SpA,SpD,"Rock, Fire",Flying,"Bug, Steel, Grass, Ice","Flying, Rock, Fire",Fire
Fuecoco,Ghost,SpA,SpD,,"Ghost, Dark","Bug, Steel, Grass, Ice","Ghost, Dark",Fire
Fuecoco,Steel,SpA,SpD,Fire,"Fighting, Ground","Bug, Steel, Grass, Ice","Fighting, Ground, Fire",Fire
Fuecoco,Fire,SpA,SpD,"Rock, Water",Ground,"Bug, Steel, Grass, Ice","Ground, Rock, Water",Fire
Fuecoco,Water,SpA,SpD,,Electric,"Bug, Steel, Grass, Ice","Grass, Electric",Fire
Fuecoco,Grass,SpA,SpD,Fire,"Flying, Poison","Bug, Steel, Grass, Ice","Flying, Poison, Bug, Fire, Ice",Fire
Fuecoco,Electric,SpA,SpD,,Ground,"Bug, Steel, Grass, Ice",Ground,Fire
Fuecoco,Psychic,SpA,SpD,,"Ghost, Dark","Bug, Steel, Grass, Ice","Bug, Ghost, Dark",Fire
Fuecoco,Ice,SpA,SpD,"Rock, Fire",Fighting,"Bug, Steel, Grass, Ice","Fighting, Rock, Steel, Fire",Fire
Fuecoco,Dragon,SpA,SpD,Dragon,Fairy,"Bug, Steel, Grass, Ice","Ice, Dragon, Fairy",Fire
Fuecoco,Dark,SpA,SpD,,"Fighting, Fairy","Bug, Steel, Grass, Ice","Fighting, Bug, Fairy",Fire
Fuecoco,Fairy,SpA,SpD,,Poison,"Bug, Steel, Grass, Ice","Poison, Steel",Fire
Crocalor,Normal,SpA,SpD,,Fighting,"Bug, Steel, Grass, Ice",Fighting,Fire
Crocalor,Fighting,SpA,SpD,,"Flying, Psychic, Fairy","Bug, Steel, Grass, Ice","Flying, Psychic, Fairy",Fire
Crocalor,Flying,SpA,SpD,Rock,Electric,"Bug, Steel, Grass, Ice","Rock, Electric, Ice",Fire
Crocalor,Poison,SpA,SpD,,"Ground, Psychic","Bug, Steel, Grass, Ice","Ground, Psychic",Fire
Crocalor,Ground,SpA,SpD,Water,,"Bug, Steel, Grass, Ice","Water, Grass, Ice",Fire
Crocalor,Rock,SpA,SpD,Water,"Fighting, Ground","Bug, Steel, Grass, Ice","Fighting, Ground, Steel, Water, Grass",Fire
Crocalor,Bug,SpA,SpD,"Rock, Fire",Flying,"Bug, Steel, Grass, Ice","Flying, Rock, Fire",Fire
Crocalor,Ghost,SpA,SpD,,"Ghost, Dark","Bug, Steel, Grass, Ice","Ghost, Dark",Fire
Crocalor,Steel,SpA,SpD,Fire,"Fighting, Ground","Bug, Steel, Grass, Ice","Fighting, Ground, Fire",Fire
Crocalor,Fire,SpA,SpD,"Rock, Water",Ground,"Bug, Steel, Grass, Ice","Ground, Rock, Water",Fire
Crocalor,Water,SpA,SpD,,Electric,"Bug, Steel, Grass, Ice","Grass, Electric",Fire
Crocalor,Grass,SpA,SpD,Fire,"Flying, Poison","Bug, Steel, Grass, Ice","Flying, Poison, Bug, Fire, Ice",Fire
Crocalor,Electric,SpA,SpD,,Ground,"Bug, Steel, Grass, Ice",Ground,Fire
Crocalor,Psychic,SpA,SpD,,"Ghost, Dark","Bug, Steel, Grass, Ice","Bug, Ghost, Dark",Fire
Crocalor,Ice,SpA,SpD,"Rock, Fire",Fighting,"Bug, Steel, Grass, Ice","Fighting, Rock, Steel, Fire",Fire
Crocalor,Dragon,SpA,SpD,Dragon,Fairy,"Bug, Steel, Grass, Ice","Ice, Dragon, Fairy",Fire
Crocalor,Dark,SpA,SpD,,"Fighting, Fairy","Bug, Steel, Grass, Ice","Fighting, Bug, Fairy",Fire
Crocalor,Fairy,SpA,SpD,,Poison,"Bug, Steel, Grass, Ice","Poison, Steel",Fire
Skeledirge,Normal,SpA,SpD,,Fighting,"Bug, Steel, Grass, Ice, Ghost, Psychic",Fighting,"Fire, Ghost"
Skeledirge,Fighting,SpA,SpD,,"Flying, Fairy","Bug, Steel, Grass, Ice, Ghost, Psychic","Flying, Psychic, Fairy","Fire, Ghost"
Skeledirge,Flying,SpA,SpD,Rock,Electric,"Bug, Steel, Grass, Ice, Ghost, Psychic","Rock, Electric, Ice","Fire, Ghost"
Skeledirge,Poison,SpA,SpD,,Ground,"Bug, Steel, Grass, Ice, Ghost, Psychic","Ground, Psychic","Fire, Ghost"
Skeledirge,Ground,SpA,SpD,Water,,"Bug, Steel, Grass, Ice, Ghost, Psychic","Water, Grass, Ice","Fire, Ghost"
Skeledirge,Rock,SpA,SpD,Water,"Fighting, Ground","Bug, Steel, Grass, Ice, Ghost, Psychic","Fighting, Ground, Steel, Water, Grass","Fire, Ghost"
Skeledirge,Bug,SpA,SpD,"Rock, Fire",Flying,"Bug, Steel, Grass, Ice, Ghost, Psychic","Flying, Rock, Fire","Fire, Ghost"
Skeledirge,Ghost,SpA,SpD,Dark,,"Bug, Steel, Grass, Ice, Ghost, Psychic","Ghost, Dark","Fire, Ghost"
Skeledirge,Steel,SpA,SpD,Fire,"Fighting, Ground","Bug, Steel, Grass, Ice, Ghost, Psychic","Fighting, Ground, Fire","Fire, Ghost"
Skeledirge,Fire,SpA,SpD,"Rock, Water",Ground,"Bug, Steel, Grass, Ice, Ghost, Psychic","Ground, Rock, Water","Fire, Ghost"
Skeledirge,Water,SpA,SpD,,Electric,"Bug, Steel, Grass, Ice, Ghost, Psychic","Grass, Electric","Fire, Ghost"
Skeledirge,Grass,SpA,SpD,Fire,"Flying, Poison","Bug, Steel, Grass, Ice, Ghost, Psychic","Flying, Poison, Bug, Fire, Ice","Fire, Ghost"
Skeledirge,Electric,SpA,SpD,,Ground,"Bug, Steel, Grass, Ice, Ghost, Psychic",Ground,"Fire, Ghost"
Skeledirge,Psychic,SpA,SpD,Dark,,"Bug, Steel, Grass, Ice, Ghost, Psychic","Bug, Ghost, Dark","Fire, Ghost"
Skeledirge,Ice,SpA,SpD,"Rock, Fire",Fighting,"Bug, Steel, Grass, Ice, Ghost, Psychic","Fighting, Rock, Steel, Fire","Fire, Ghost"
Skeledirge,Dragon,SpA,SpD,Dragon,Fairy,"Bug, Steel, Grass, Ice, Ghost, Psychic","Ice, Dragon, Fairy","Fire, Ghost"
Skeledirge,Dark,SpA,SpD,,"Fighting, Fairy","Bug, Steel, Grass, Ice, Ghost, Psychic","Fighting, Bug, Fairy","Fire, Ghost"
Skeledirge,Fairy,SpA,SpD,,Poison,"Bug, Steel, Grass, Ice, Ghost, Psychic","Poison, Steel","Fire, Ghost"
Quaxly,Normal,Any,Def,,Fighting,"Ground, Rock, Fire",Fighting,Water
Quaxly,Fighting,Any,Def,,"Flying, Psychic, Fairy","Ground, Rock, Fire","Flying, Psychic, Fairy",Water
Quaxly,Flying,Any,Def,,"Electric, Ice","Ground, Rock, Fire","Rock, Electric, Ice",Water
Quaxly,Poison,Any,Def,,Psychic,"Ground, Rock, Fire","Ground, Psychic",Water
Quaxly,Ground,Any,Def,"Water, Grass",Ice,"Ground, Rock, Fire","Water, Grass, Ice",Water
Quaxly,Rock,Any,Def,"Water, Grass","Fighting, Steel","Ground, Rock, Fire","Fighting, Ground, Steel, Water, Grass",Water
Quaxly,Bug,Any,Def,,Flying,"Ground, Rock, Fire","Flying, Rock, Fire",Water
Quaxly,Ghost,Any,Def,,"Ghost, Dark","Ground, Rock, Fire","Ghost, Dark",Water
Quaxly,Steel,Any,Def,,Fighting,"Ground, Rock, Fire","Fighting, Ground, Fire",Water
Quaxly,Fire,Any,Def,Water,,"Ground, Rock, Fire","Ground, Rock, Water",Water
Quaxly,Water,Any,Def,Grass,Electric,"Ground, Rock, Fire","Grass, Electric",Water
Quaxly,Grass,Any,Def,,"Flying, Poison, Bug, Ice","Ground, Rock, Fire","Flying, Poison, Bug, Fire, Ice",Water
Quaxly,Electric,Any,Def,,,"Ground, Rock, Fire",Ground,Water
Quaxly,Psychic,Any,Def,,"Bug, Ghost, Dark","Ground, Rock, Fire","Bug, Ghost, Dark",Water
Quaxly,Ice,Any,Def,,"Fighting, Steel","Ground, Rock, Fire","Fighting, Rock, Steel, Fire",Water
Quaxly,Dragon,Any,Def,Dragon,"Ice, Fairy","Ground, Rock, Fire","Ice, Dragon, Fairy",Water
Quaxly,Dark,Any,Def,,"Fighting, Bug, Fairy","Ground, Rock, Fire","Fighting, Bug, Fairy",Water
Quaxly,Fairy,Any,Def,,"Poison, Steel","Ground, Rock, Fire","Poison, Steel",Water
Quaxwell,Normal,Any,Def,,Fighting,"Ground, Rock, Fire",Fighting,Water
Quaxwell,Fighting,Any,Def,,"Flying, Psychic, Fairy","Ground, Rock, Fire","Flying, Psychic, Fairy",Water
Quaxwell,Flying,Any,Def,,"Electric, Ice","Ground, Rock, Fire","Rock, Electric, Ice",Water
Quaxwell,Poison,Any,Def,,Psychic,"Ground, Rock, Fire","Ground, Psychic",Water
Quaxwell,Ground,Any,Def,"Water, Grass",Ice,"Ground, Rock, Fire","Water, Grass, Ice",Water
Quaxwell,Rock,Any,Def,"Water, Grass","Fighting, Steel","Ground, Rock, Fire","Fighting, Ground, Steel, Water, Grass",Water
Quaxwell,Bug,Any,Def,,Flying,"Ground, Rock, Fire","Flying, Rock, Fire",Water
Quaxwell,Ghost,Any,Def,,"Ghost, Dark","Ground, Rock, Fire","Ghost, Dark",Water
Quaxwell,Steel,Any,Def,,Fighting,"Ground, Rock, Fire","Fighting, Ground, Fire",Water
Quaxwell,Fire,Any,Def,Water,,"Ground, Rock, Fire","Ground, Rock, Water",Water
Quaxwell,Water,Any,Def,Grass,Electric,"Ground, Rock, Fire","Grass, Electric",Water
Quaxwell,Grass,Any,Def,,"Flying, Poison, Bug, Ice","Ground, Rock, Fire","Flying, Poison, Bug, Fire, Ice",Water
Quaxwell,Electric,Any,Def,,,"Ground, Rock, Fire",Ground,Water
Quaxwell,Psychic,Any,Def,,"Bug, Ghost, Dark","Ground, Rock, Fire","Bug, Ghost, Dark",Water
Quaxwell,Ice,Any,Def,,"Fighting, Steel","Ground, Rock, Fire","Fighting, Rock, Steel, Fire",Water
Quaxwell,Dragon,Any,Def,Dragon,"Ice, Fairy","Ground, Rock, Fire","Ice, Dragon, Fairy",Water
Quaxwell,Dark,Any,Def,,"Fighting, Bug, Fairy","Ground, Rock, Fire","Fighting, Bug, Fairy",Water
Quaxwell,Fairy,Any,Def,,"Poison, Steel","Ground, Rock, Fire","Poison, Steel",Water
Quaquaval,Normal,Any,Def,,Fighting,"Normal, Rock, Steel, Ice, Dark, Ground, Fire",Fighting,"Fighting, Water"
Quaquaval,Fighting,Any,Def,"Flying, Psychic, Fairy",,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Flying, Psychic, Fairy","Fighting, Water"
Quaquaval,Flying,Any,Def,,Electric,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Rock, Electric, Ice","Fighting, Water"
Quaquaval,Poison,Any,Def,Psychic,,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Ground, Psychic","Fighting, Water"
Quaquaval,Ground,Any,Def,"Water, Grass",,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Water, Grass, Ice","Fighting, Water"
Quaquaval,Rock,Any,Def,"Water, Grass",Fighting,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Fighting, Ground, Steel, Water, Grass","Fighting, Water"
Quaquaval,Bug,Any,Def,Flying,,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Flying, Rock, Fire","Fighting, Water"
Quaquaval,Ghost,Any,Def,Ghost,,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Ghost, Dark","Fighting, Water"
Quaquaval,Steel,Any,Def,,Fighting,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Fighting, Ground, Fire","Fighting, Water"
Quaquaval,Fire,Any,Def,Water,,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Ground, Rock, Water","Fighting, Water"
Quaquaval,Water,Any,Def,Grass,Electric,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Grass, Electric","Fighting, Water"
Quaquaval,Grass,Any,Def,"Flying, Poison, Bug",,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Flying, Poison, Bug, Fire, Ice","Fighting, Water"
Quaquaval,Electric,Any,Def,,,"Normal, Rock, Steel, Ice, Dark, Ground, Fire",Ground,"Fighting, Water"
Quaquaval,Psychic,Any,Def,"Ghost, Bug",,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Bug, Ghost, Dark","Fighting, Water"
Quaquaval,Ice,Any,Def,,Fighting,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Fighting, Rock, Steel, Fire","Fighting, Water"
Quaquaval,Dragon,Any,Def,"Dragon, Fairy",,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Ice, Dragon, Fairy","Fighting, Water"
Quaquaval,Dark,Any,Def,"Bug, Fairy",Fighting,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Fighting, Bug, Fairy","Fighting, Water"
Quaquaval,Fairy,Any,Def,Poison,,"Normal, Rock, Steel, Ice, Dark, Ground, Fire","Poison, Steel","Fighting, Water"
Lechonk,Normal,Any,Def,,Fighting,,Fighting,Normal
Lechonk,Fighting,Any,Def,,"Flying, Psychic, Fairy",,"Flying, Psychic, Fairy",Normal
Lechonk,Flying,Any,Def,Rock,"Electric, Ice",,"Rock, Electric, Ice",Normal
Lechonk,Poison,Any,Def,,"Ground, Psychic",,"Ground, Psychic",Normal
Lechonk,Ground,Any,Def,,"Water, Grass, Ice",,"Water, Grass, Ice",Normal
Lechonk,Rock,Any,Def,Steel,"Fighting, Ground, Water, Grass",,"Fighting, Ground, Steel, Water, Grass",Normal
Lechonk,Bug,Any,Def,Rock,"Flying, Fire",,"Flying, Rock, Fire",Normal
Lechonk,Ghost,Any,Def,Ghost,Dark,,"Ghost, Dark",Normal
Lechonk,Steel,Any,Def,,"Fighting, Ground, Fire",,"Fighting, Ground, Fire",Normal
Lechonk,Fire,Any,Def,Rock,"Ground, Water",,"Ground, Rock, Water",Normal
Lechonk,Water,Any,Def,,"Grass, Electric",,"Grass, Electric",Normal
Lechonk,Grass,Any,Def,,"Flying, Poison, Bug, Fire, Ice",,"Flying, Poison, Bug, Fire, Ice",Normal
Lechonk,Electric,Any,Def,,Ground,,Ground,Normal
Lechonk,Psychic,Any,Def,Ghost,"Bug, Dark",,"Bug, Ghost, Dark",Normal
Lechonk,Ice,Any,Def,"Rock, Steel","Fighting, Fire",,"Fighting, Rock, Steel, Fire",Normal
Lechonk,Dragon,Any,Def,,"Ice, Dragon, Fairy",,"Ice, Dragon, Fairy",Normal
Lechonk,Dark,Any,Def,,"Fighting, Bug, Fairy",,"Fighting, Bug, Fairy",Normal
Lechonk,Fairy,Any,Def,Steel,Poison,,"Poison, Steel",Normal
Oinkologne,Normal,Any,Def,,Fighting,,Fighting,Normal
Oinkologne,Fighting,Any,Def,,"Flying, Psychic, Fairy",,"Flying, Psychic, Fairy",Normal
Oinkologne,Flying,Any,Def,Rock,"Electric, Ice",,"Rock, Electric, Ice",Normal
Oinkologne,Poison,Any,Def,,"Ground, Psychic",,"Ground, Psychic",Normal
Oinkologne,Ground,Any,Def,,"Water, Grass, Ice",,"Water, Grass, Ice",Normal
Oinkologne,Rock,Any,Def,Steel,"Fighting, Ground, Water, Grass",,"Fighting, Ground, Steel, Water, Grass",Normal
Oinkologne,Bug,Any,Def,Rock,"Flying, Fire",,"Flying, Rock, Fire",Normal
Oinkologne,Ghost,Any,Def,Ghost,Dark,,"Ghost, Dark",Normal
Oinkologne,Steel,Any,Def,,"Fighting, Ground, Fire",,"Fighting, Ground, Fire",Normal
Oinkologne,Fire,Any,Def,Rock,"Ground, Water",,"Ground, Rock, Water",Normal
Oinkologne,Water,Any,Def,,"Grass, Electric",,"Grass, Electric",Normal
Oinkologne,Grass,Any,Def,,"Flying, Poison, Bug, Fire, Ice",,"Flying, Poison, Bug, Fire, Ice",Normal
Oinkologne,Electric,Any,Def,,Ground,,Ground,Normal
Oinkologne,Psychic,Any,Def,Ghost,"Bug, Dark",,"Bug, Ghost, Dark",Normal
Oinkologne,Ice,Any,Def,"Rock, Steel","Fighting, Fire",,"Fighting, Rock, Steel, Fire",Normal
Oinkologne,Dragon,Any,Def,,"Ice, Dragon, Fairy",,"Ice, Dragon, Fairy",Normal
Oinkologne,Dark,Any,Def,,"Fighting, Bug, Fairy",,"Fighting, Bug, Fairy",Normal
Oinkologne,Fairy,Any,Def,Steel,Poison,,"Poison, Steel",Normal
Tarountula,Normal,Any,Def,Fighting,,"Grass, Psychic, Dark",Fighting,Bug
Tarountula,Fighting,Any,Def,"Flying, Fairy",,"Grass, Psychic, Dark","Flying, Psychic, Fairy",Bug
Tarountula,Flying,Any,Def,,"Rock, Electric, Ice","Grass, Psychic, Dark","Rock, Electric, Ice",Bug
Tarountula,Poison,Any,Def,,Ground,"Grass, Psychic, Dark","Ground, Psychic",Bug
Tarountula,Ground,Any,Def,,"Water, Ice","Grass, Psychic, Dark","Water, Grass, Ice",Bug
Tarountula,Rock,Any,Def,"Fighting, Steel","Ground, Water","Grass, Psychic, Dark","Fighting, Ground, Steel, Water, Grass",Bug
Tarountula,Bug,Any,Def,"Flying, Fire",Rock,"Grass, Psychic, Dark","Flying, Rock, Fire",Bug
Tarountula,Ghost,Any,Def,Ghost,,"Grass, Psychic, Dark","Ghost, Dark",Bug
Tarountula,Steel,Any,Def,"Fighting, Fire",Ground,"Grass, Psychic, Dark","Fighting, Ground, Fire",Bug
Tarountula,Fire,Any,Def,,"Ground, Rock, Water","Grass, Psychic, Dark","Ground, Rock, Water",Bug
Tarountula,Water,Any,Def,,Electric,"Grass, Psychic, Dark","Grass, Electric",Bug
Tarountula,Grass,Any,Def,"Flying, Poison, Fire","Bug, Ice","Grass, Psychic, Dark","Flying, Poison, Bug, Fire, Ice",Bug
Tarountula,Electric,Any,Def,,Ground,"Grass, Psychic, Dark",Ground,Bug
Tarountula,Psychic,Any,Def,Ghost,Bug,"Grass, Psychic, Dark","Bug, Ghost, Dark",Bug
Tarountula,Ice,Any,Def,"Fighting, Steel, Fire",Rock,"Grass, Psychic, Dark","Fighting, Rock, Steel, Fire",Bug
Tarountula,Dragon,Any,Def,Fairy,"Ice, Dragon","Grass, Psychic, Dark","Ice, Dragon, Fairy",Bug
Tarountula,Dark,Any,Def,"Fighting, Fairy",Bug,"Grass, Psychic, Dark","Fighting, Bug, Fairy",Bug
Tarountula,Fairy,Any,Def,"Poison, Steel",,"Grass, Psychic, Dark","Poison, Steel",Bug
Spidops,Normal,Any,Def,Fighting,,"Grass, Psychic, Dark",Fighting,Bug
Spidops,Fighting,Any,Def,"Flying, Fairy",,"Grass, Psychic, Dark","Flying, Psychic, Fairy",Bug
Spidops,Flying,Any,Def,,"Rock, Electric, Ice","Grass, Psychic, Dark","Rock, Electric, Ice",Bug
Spidops,Poison,Any,Def,,Ground,"Grass, Psychic, Dark","Ground, Psychic",Bug
Spidops,Ground,Any,Def,,"Water, Ice","Grass, Psychic, Dark","Water, Grass, Ice",Bug
Spidops,Rock,Any,Def,"Fighting, Steel","Ground, Water","Grass, Psychic, Dark","Fighting, Ground, Steel, Water, Grass",Bug
Spidops,Bug,Any,Def,"Flying, Fire",Rock,"Grass, Psychic, Dark","Flying, Rock, Fire",Bug
Spidops,Ghost,Any,Def,Ghost,,"Grass, Psychic, Dark","Ghost, Dark",Bug
Spidops,Steel,Any,Def,"Fighting, Fire",Ground,"Grass, Psychic, Dark","Fighting, Ground, Fire",Bug
Spidops,Fire,Any,Def,,"Ground, Rock, Water","Grass, Psychic, Dark","Ground, Rock, Water",Bug
Spidops,Water,Any,Def,,Electric,"Grass, Psychic, Dark","Grass, Electric",Bug
Spidops,Grass,Any,Def,"Flying, Poison, Fire","Bug, Ice","Grass, Psychic, Dark","Flying, Poison, Bug, Fire, Ice",Bug
Spidops,Electric,Any,Def,,Ground,"Grass, Psychic, Dark",Ground,Bug
Spidops,Psychic,Any,Def,Ghost,Bug,"Grass, Psychic, Dark","Bug, Ghost, Dark",Bug
Spidops,Ice,Any,Def,"Fighting, Steel, Fire",Rock,"Grass, Psychic, Dark","Fighting, Rock, Steel, Fire",Bug
Spidops,Dragon,Any,Def,Fairy,"Ice, Dragon","Grass, Psychic, Dark","Ice, Dragon, Fairy",Bug
Spidops,Dark,Any,Def,"Fighting, Fairy",Bug,"Grass, Psychic, Dark","Fighting, Bug, Fairy",Bug
Spidops,Fairy,Any,Def,"Poison, Steel",,"Grass, Psychic, Dark","Poison, Steel",Bug
