Tera Type,Atk 1,Atk 2,GOOD,Ok,Bad,Weak To
Normal,Ground,Rock,Fighting,,"Poison, Rock, Steel, Fire, Electric, Flying, Bug, Ice",Fighting
Normal,Ground,Bug,Fighting,,"Poison, Rock, Steel, Fire, Electric, Grass, Psychic, Dark",Fighting
Normal,Ground,Ghost,,Fighting,"Poison, Rock, Steel, Fire, Electric, Ghost, Psychic",Fighting
Normal,Ground,Steel,,Fighting,"Poison, Rock, Steel, Fire, Electric, Ice, Fairy",Fighting
Normal,Ground,Fire,,Fighting,"Poison, Rock, Steel, Fire, Electric, Bug, Grass, Ice",Fighting
Normal,Ground,Water,,Fighting,"Poison, Rock, Steel, Fire, Electric, Ground",Fighting
Normal,Ground,Grass,,Fighting,"Poison, Rock, Steel, Fire, Electric, Ground, Water",Fighting
Normal,Ground,Electric,,Fighting,"Poison, Rock, Steel, Fire, Electric, Flying, Water",Fighting
Normal,Ground,Psychic,,,"Poison, Rock, Steel, Fire, Electric, Fighting",Fighting
Normal,Ground,Ice,,Fighting,"Poison, Rock, Steel, Fire, Electric, Flying, Ground, Grass, Dragon",Fighting
Normal,Ground,Dragon,,Fighting,"Poison, Rock, Steel, Fire, Electric, Dragon",Fighting
Normal,Ground,Dark,Fighting,,"Poison, Rock, Steel, Fire, Electric, Ghost, Psychic",Fighting
Normal,Ground,Fairy,,,"Poison, Rock, Steel, Fire, Electric, Fighting, Dragon, Dark",Fighting
Normal,Rock,Normal,Fighting,,"Flying, Bug, Fire, Ice",Fighting
Normal,Rock,Fighting,Fighting,,"Flying, Bug, Fire, Ice, Normal, Rock, Steel, Dark",Fighting
Normal,Rock,Flying,,,"Flying, Bug, Fire, Ice, Fighting, Grass",Fighting
Normal,Rock,Poison,Fighting,,"Flying, Bug, Fire, Ice, Grass, Fairy",Fighting
Normal,Rock,Ground,Fighting,,"Flying, Bug, Fire, Ice, Poison, Rock, Steel, Electric",Fighting
Normal,Rock,,Fighting,,"Flying, Bug, Fire, Ice",Fighting
Normal,Rock,Bug,Fighting,,"Flying, Bug, Fire, Ice, Grass, Psychic, Dark",Fighting
Normal,Rock,Ghost,Fighting,,"Flying, Bug, Fire, Ice, Ghost, Psychic",Fighting
Normal,Rock,Steel,Fighting,,"Flying, Bug, Fire, Ice, Rock, Fairy",Fighting
Normal,Rock,Fire,Fighting,,"Flying, Bug, Fire, Ice, Steel, Grass",Fighting
Normal,Rock,Water,Fighting,,"Flying, Bug, Fire, Ice, Ground, Rock",Fighting
Normal,Rock,Grass,Fighting,,"Flying, Bug, Fire, Ice, Ground, Rock, Water",Fighting
Normal,Rock,Electric,Fighting,,"Flying, Bug, Fire, Ice, Water",Fighting
Normal,Rock,Psychic,,,"Flying, Bug, Fire, Ice, Fighting, Poison",Fighting
Normal,Rock,Ice,Fighting,,"Flying, Bug, Fire, Ice, Ground, Grass, Dragon",Fighting
Normal,Rock,Dragon,Fighting,,"Flying, Bug, Fire, Ice, Dragon",Fighting
Normal,Rock,Dark,Fighting,,"Flying, Bug, Fire, Ice, Ghost, Psychic",Fighting
Normal,Rock,Fairy,,,"Flying, Bug, Fire, Ice, Fighting, Dragon, Dark",Fighting
Normal,Bug,Normal,Fighting,,"Grass, Psychic, Dark",Fighting
Normal,Bug,Fighting,Fighting,,"Grass, Psychic, Dark, Normal, Rock, Steel, Ice",Fighting
Normal,Bug,Flying,,,"Grass, Psychic, Dark, Fighting, Bug",Fighting
Normal,Bug,Poison,Fighting,,"Grass, Psychic, Dark, Fairy",Fighting
Normal,Bug,Ground,Fighting,,"Grass, Psychic, Dark, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Bug,Rock,Fighting,,"Grass, Psychic, Dark, Flying, Bug, Fire, Ice",Fighting
Normal,Bug,,Fighting,,"Grass, Psychic, Dark",Fighting
Normal,Bug,Ghost,Fighting,,"Grass, Psychic, Dark, Ghost",Fighting
Normal,Bug,Steel,Fighting,,"Grass, Psychic, Dark, Rock, Ice, Fairy",Fighting
Normal,Bug,Fire,Fighting,,"Grass, Psychic, Dark, Bug, Steel, Ice",Fighting
Normal,Bug,Water,Fighting,,"Grass, Psychic, Dark, Ground, Rock, Fire",Fighting
Normal,Bug,Grass,Fighting,,"Grass, Psychic, Dark, Ground, Rock, Water",Fighting
Normal,Bug,Electric,Fighting,,"Grass, Psychic, Dark, Flying, Water",Fighting
Normal,Bug,Psychic,,,"Grass, Psychic, Dark, Fighting, Poison",Fighting
Normal,Bug,Ice,Fighting,,"Grass, Psychic, Dark, Flying, Ground, Dragon",Fighting
Normal,Bug,Dragon,Fighting,,"Grass, Psychic, Dark, Dragon",Fighting
Normal,Bug,Dark,Fighting,,"Grass, Psychic, Dark, Ghost",Fighting
Normal,Bug,Fairy,,,"Grass, Psychic, Dark, Fighting, Dragon",Fighting
Normal,Ghost,Normal,,Fighting,"Ghost, Psychic",Fighting
Normal,Ghost,Fighting,,Fighting,"Ghost, Psychic, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Ghost,Flying,,,"Ghost, Psychic, Fighting, Bug, Grass",Fighting
Normal,Ghost,Poison,,Fighting,"Ghost, Psychic, Grass, Fairy",Fighting
Normal,Ghost,Ground,,Fighting,"Ghost, Psychic, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Ghost,Rock,Fighting,,"Ghost, Psychic, Flying, Bug, Fire, Ice",Fighting
Normal,Ghost,Bug,Fighting,,"Ghost, Psychic, Grass, Dark",Fighting
Normal,Ghost,,,Fighting,"Ghost, Psychic",Fighting
Normal,Ghost,Steel,,Fighting,"Ghost, Psychic, Rock, Ice, Fairy",Fighting
Normal,Ghost,Fire,,Fighting,"Ghost, Psychic, Bug, Steel, Grass, Ice",Fighting
Normal,Ghost,Water,,Fighting,"Ghost, Psychic, Ground, Rock, Fire",Fighting
Normal,Ghost,Grass,,Fighting,"Ghost, Psychic, Ground, Rock, Water",Fighting
Normal,Ghost,Electric,,Fighting,"Ghost, Psychic, Flying, Water",Fighting
Normal,Ghost,Psychic,,,"Ghost, Psychic, Fighting, Poison",Fighting
Normal,Ghost,Ice,,Fighting,"Ghost, Psychic, Flying, Ground, Grass, Dragon",Fighting
Normal,Ghost,Dragon,,Fighting,"Ghost, Psychic, Dragon",Fighting
Normal,Ghost,Dark,Fighting,,"Ghost, Psychic",Fighting
Normal,Ghost,Fairy,,,"Ghost, Psychic, Fighting, Dragon, Dark",Fighting
Normal,Steel,Normal,,Fighting,"Rock, Ice, Fairy",Fighting
Normal,Steel,Fighting,,Fighting,"Rock, Ice, Fairy, Normal, Steel, Dark",Fighting
Normal,Steel,Flying,,,"Rock, Ice, Fairy, Fighting, Bug, Grass",Fighting
Normal,Steel,Poison,,Fighting,"Rock, Ice, Fairy, Grass",Fighting
Normal,Steel,Ground,,Fighting,"Rock, Ice, Fairy, Poison, Steel, Fire, Electric",Fighting
Normal,Steel,Rock,Fighting,,"Rock, Ice, Fairy, Flying, Bug, Fire",Fighting
Normal,Steel,Bug,Fighting,,"Rock, Ice, Fairy, Grass, Psychic, Dark",Fighting
Normal,Steel,Ghost,,Fighting,"Rock, Ice, Fairy, Ghost, Psychic",Fighting
Normal,Steel,,,Fighting,"Rock, Ice, Fairy",Fighting
Normal,Steel,Fire,,Fighting,"Rock, Ice, Fairy, Bug, Steel, Grass",Fighting
Normal,Steel,Water,,Fighting,"Rock, Ice, Fairy, Ground, Fire",Fighting
Normal,Steel,Grass,,Fighting,"Rock, Ice, Fairy, Ground, Water",Fighting
Normal,Steel,Electric,,Fighting,"Rock, Ice, Fairy, Flying, Water",Fighting
Normal,Steel,Psychic,,,"Rock, Ice, Fairy, Fighting, Poison",Fighting
Normal,Steel,Ice,,Fighting,"Rock, Ice, Fairy, Flying, Ground, Grass, Dragon",Fighting
Normal,Steel,Dragon,,Fighting,"Rock, Ice, Fairy, Dragon",Fighting
Normal,Steel,Dark,Fighting,,"Rock, Ice, Fairy, Ghost, Psychic",Fighting
Normal,Steel,Fairy,,,"Rock, Ice, Fairy, Fighting, Dragon, Dark",Fighting
Normal,Fire,Normal,,Fighting,"Bug, Steel, Grass, Ice",Fighting
Normal,Fire,Fighting,,Fighting,"Bug, Steel, Grass, Ice, Normal, Rock, Dark",Fighting
Normal,Fire,Flying,,,"Bug, Steel, Grass, Ice, Fighting",Fighting
Normal,Fire,Poison,,Fighting,"Bug, Steel, Grass, Ice, Fairy",Fighting
Normal,Fire,Ground,,Fighting,"Bug, Steel, Grass, Ice, Poison, Rock, Fire, Electric",Fighting
Normal,Fire,Rock,Fighting,,"Bug, Steel, Grass, Ice, Flying, Fire",Fighting
Normal,Fire,Bug,Fighting,,"Bug, Steel, Grass, Ice, Psychic, Dark",Fighting
Normal,Fire,Ghost,,Fighting,"Bug, Steel, Grass, Ice, Ghost, Psychic",Fighting
Normal,Fire,Steel,,Fighting,"Bug, Steel, Grass, Ice, Rock, Fairy",Fighting
Normal,Fire,,,Fighting,"Bug, Steel, Grass, Ice",Fighting
Normal,Fire,Water,,Fighting,"Bug, Steel, Grass, Ice, Ground, Rock, Fire",Fighting
Normal,Fire,Grass,,Fighting,"Bug, Steel, Grass, Ice, Ground, Rock, Water",Fighting
Normal,Fire,Electric,,Fighting,"Bug, Steel, Grass, Ice, Flying, Water",Fighting
Normal,Fire,Psychic,,,"Bug, Steel, Grass, Ice, Fighting, Poison",Fighting
Normal,Fire,Ice,,Fighting,"Bug, Steel, Grass, Ice, Flying, Ground, Dragon",Fighting
Normal,Fire,Dragon,,Fighting,"Bug, Steel, Grass, Ice, Dragon",Fighting
Normal,Fire,Dark,Fighting,,"Bug, Steel, Grass, Ice, Ghost, Psychic",Fighting
Normal,Fire,Fairy,,,"Bug, Steel, Grass, Ice, Fighting, Dragon, Dark",Fighting
Normal,Water,Normal,,Fighting,"Ground, Rock, Fire",Fighting
Normal,Water,Fighting,,Fighting,"Ground, Rock, Fire, Normal, Steel, Ice, Dark",Fighting
Normal,Water,Flying,,,"Ground, Rock, Fire, Fighting, Bug, Grass",Fighting
Normal,Water,Poison,,Fighting,"Ground, Rock, Fire, Grass, Fairy",Fighting
Normal,Water,Ground,,Fighting,"Ground, Rock, Fire, Poison, Steel, Electric",Fighting
Normal,Water,Rock,Fighting,,"Ground, Rock, Fire, Flying, Bug, Ice",Fighting
Normal,Water,Bug,Fighting,,"Ground, Rock, Fire, Grass, Psychic, Dark",Fighting
Normal,Water,Ghost,,Fighting,"Ground, Rock, Fire, Ghost, Psychic",Fighting
Normal,Water,Steel,,Fighting,"Ground, Rock, Fire, Ice, Fairy",Fighting
Normal,Water,Fire,,Fighting,"Ground, Rock, Fire, Bug, Steel, Grass, Ice",Fighting
Normal,Water,,,Fighting,"Ground, Rock, Fire",Fighting
Normal,Water,Grass,,Fighting,"Ground, Rock, Fire, Water",Fighting
Normal,Water,Electric,,Fighting,"Ground, Rock, Fire, Flying, Water",Fighting
Normal,Water,Psychic,,,"Ground, Rock, Fire, Fighting, Poison",Fighting
Normal,Water,Ice,,Fighting,"Ground, Rock, Fire, Flying, Grass, Dragon",Fighting
Normal,Water,Dragon,,Fighting,"Ground, Rock, Fire, Dragon",Fighting
Normal,Water,Dark,Fighting,,"Ground, Rock, Fire, Ghost, Psychic",Fighting
Normal,Water,Fairy,,,"Ground, Rock, Fire, Fighting, Dragon, Dark",Fighting
Normal,Grass,Normal,,Fighting,"Ground, Rock, Water",Fighting
Normal,Grass,Fighting,,Fighting,"Ground, Rock, Water, Normal, Steel, Ice, Dark",Fighting
Normal,Grass,Flying,,,"Ground, Rock, Water, Fighting, Bug, Grass",Fighting
Normal,Grass,Poison,,Fighting,"Ground, Rock, Water, Grass, Fairy",Fighting
Normal,Grass,Ground,,Fighting,"Ground, Rock, Water, Poison, Steel, Fire, Electric",Fighting
Normal,Grass,Rock,Fighting,,"Ground, Rock, Water, Flying, Bug, Fire, Ice",Fighting
Normal,Grass,Bug,Fighting,,"Ground, Rock, Water, Grass, Psychic, Dark",Fighting
Normal,Grass,Ghost,,Fighting,"Ground, Rock, Water, Ghost, Psychic",Fighting
Normal,Grass,Steel,,Fighting,"Ground, Rock, Water, Ice, Fairy",Fighting
Normal,Grass,Fire,,Fighting,"Ground, Rock, Water, Bug, Steel, Grass, Ice",Fighting
Normal,Grass,Water,,Fighting,"Ground, Rock, Water, Fire",Fighting
Normal,Grass,,,Fighting,"Ground, Rock, Water",Fighting
Normal,Grass,Electric,,Fighting,"Ground, Rock, Water, Flying",Fighting
Normal,Grass,Psychic,,,"Ground, Rock, Water, Fighting, Poison",Fighting
Normal,Grass,Ice,,Fighting,"Ground, Rock, Water, Flying, Grass, Dragon",Fighting
Normal,Grass,Dragon,,Fighting,"Ground, Rock, Water, Dragon",Fighting
Normal,Grass,Dark,Fighting,,"Ground, Rock, Water, Ghost, Psychic",Fighting
Normal,Grass,Fairy,,,"Ground, Rock, Water, Fighting, Dragon, Dark",Fighting
Normal,Electric,Normal,,Fighting,"Flying, Water",Fighting
Normal,Electric,Fighting,,Fighting,"Flying, Water, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Electric,Flying,,,"Flying, Water, Fighting, Bug, Grass",Fighting
Normal,Electric,Poison,,Fighting,"Flying, Water, Grass, Fairy",Fighting
Normal,Electric,Ground,,Fighting,"Flying, Water, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Electric,Rock,Fighting,,"Flying, Water, Bug, Fire, Ice",Fighting
Normal,Electric,Bug,Fighting,,"Flying, Water, Grass, Psychic, Dark",Fighting
Normal,Electric,Ghost,,Fighting,"Flying, Water, Ghost, Psychic",Fighting
Normal,Electric,Steel,,Fighting,"Flying, Water, Rock, Ice, Fairy",Fighting
Normal,Electric,Fire,,Fighting,"Flying, Water, Bug, Steel, Grass, Ice",Fighting
Normal,Electric,Water,,Fighting,"Flying, Water, Ground, Rock, Fire",Fighting
Normal,Electric,Grass,,Fighting,"Flying, Water, Ground, Rock",Fighting
Normal,Electric,,,Fighting,"Flying, Water",Fighting
Normal,Electric,Psychic,,,"Flying, Water, Fighting, Poison",Fighting
Normal,Electric,Ice,,Fighting,"Flying, Water, Ground, Grass, Dragon",Fighting
Normal,Electric,Dragon,,Fighting,"Flying, Water, Dragon",Fighting
Normal,Electric,Dark,Fighting,,"Flying, Water, Ghost, Psychic",Fighting
Normal,Electric,Fairy,,,"Flying, Water, Fighting, Dragon, Dark",Fighting
Normal,Psychic,Normal,,,"Fighting, Poison",Fighting
Normal,Psychic,Fighting,,,"Fighting, Poison, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Psychic,Flying,,,"Fighting, Poison, Bug, Grass",Fighting
Normal,Psychic,Poison,,,"Fighting, Poison, Grass, Fairy",Fighting
Normal,Psychic,Ground,,,"Fighting, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Psychic,Rock,,,"Fighting, Poison, Flying, Bug, Fire, Ice",Fighting
Normal,Psychic,Bug,,,"Fighting, Poison, Grass, Psychic, Dark",Fighting
Normal,Psychic,Ghost,,,"Fighting, Poison, Ghost, Psychic",Fighting
Normal,Psychic,Steel,,,"Fighting, Poison, Rock, Ice, Fairy",Fighting
Normal,Psychic,Fire,,,"Fighting, Poison, Bug, Steel, Grass, Ice",Fighting
Normal,Psychic,Water,,,"Fighting, Poison, Ground, Rock, Fire",Fighting
Normal,Psychic,Grass,,,"Fighting, Poison, Ground, Rock, Water",Fighting
Normal,Psychic,Electric,,,"Fighting, Poison, Flying, Water",Fighting
Normal,Psychic,,,,"Fighting, Poison",Fighting
Normal,Psychic,Ice,,,"Fighting, Poison, Flying, Ground, Grass, Dragon",Fighting
Normal,Psychic,Dragon,,,"Fighting, Poison, Dragon",Fighting
Normal,Psychic,Dark,,,"Fighting, Poison, Ghost, Psychic",Fighting
Normal,Psychic,Fairy,,,"Fighting, Poison, Dragon, Dark",Fighting
Normal,Ice,Normal,,Fighting,"Flying, Ground, Grass, Dragon",Fighting
Normal,Ice,Fighting,,Fighting,"Flying, Ground, Grass, Dragon, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Ice,Flying,,,"Flying, Ground, Grass, Dragon, Fighting, Bug",Fighting
Normal,Ice,Poison,,Fighting,"Flying, Ground, Grass, Dragon, Fairy",Fighting
Normal,Ice,Ground,,Fighting,"Flying, Ground, Grass, Dragon, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Ice,Rock,Fighting,,"Flying, Ground, Grass, Dragon, Bug, Fire, Ice",Fighting
Normal,Ice,Bug,Fighting,,"Flying, Ground, Grass, Dragon, Psychic, Dark",Fighting
Normal,Ice,Ghost,,Fighting,"Flying, Ground, Grass, Dragon, Ghost, Psychic",Fighting
Normal,Ice,Steel,,Fighting,"Flying, Ground, Grass, Dragon, Rock, Ice, Fairy",Fighting
Normal,Ice,Fire,,Fighting,"Flying, Ground, Grass, Dragon, Bug, Steel, Ice",Fighting
Normal,Ice,Water,,Fighting,"Flying, Ground, Grass, Dragon, Rock, Fire",Fighting
Normal,Ice,Grass,,Fighting,"Flying, Ground, Grass, Dragon, Rock, Water",Fighting
Normal,Ice,Electric,,Fighting,"Flying, Ground, Grass, Dragon, Water",Fighting
Normal,Ice,Psychic,,,"Flying, Ground, Grass, Dragon, Fighting, Poison",Fighting
Normal,Ice,,,Fighting,"Flying, Ground, Grass, Dragon",Fighting
Normal,Ice,Dragon,,Fighting,"Flying, Ground, Grass, Dragon",Fighting
Normal,Ice,Dark,Fighting,,"Flying, Ground, Grass, Dragon, Ghost, Psychic",Fighting
Normal,Ice,Fairy,,,"Flying, Ground, Grass, Dragon, Fighting, Dark",Fighting
Normal,Dragon,Normal,,Fighting,Dragon,Fighting
Normal,Dragon,Fighting,,Fighting,"Dragon, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Dragon,Flying,,,"Dragon, Fighting, Bug, Grass",Fighting
Normal,Dragon,Poison,,Fighting,"Dragon, Grass, Fairy",Fighting
Normal,Dragon,Ground,,Fighting,"Dragon, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Dragon,Rock,Fighting,,"Dragon, Flying, Bug, Fire, Ice",Fighting
Normal,Dragon,Bug,Fighting,,"Dragon, Grass, Psychic, Dark",Fighting
Normal,Dragon,Ghost,,Fighting,"Dragon, Ghost, Psychic",Fighting
Normal,Dragon,Steel,,Fighting,"Dragon, Rock, Ice, Fairy",Fighting
Normal,Dragon,Fire,,Fighting,"Dragon, Bug, Steel, Grass, Ice",Fighting
Normal,Dragon,Water,,Fighting,"Dragon, Ground, Rock, Fire",Fighting
Normal,Dragon,Grass,,Fighting,"Dragon, Ground, Rock, Water",Fighting
Normal,Dragon,Electric,,Fighting,"Dragon, Flying, Water",Fighting
Normal,Dragon,Psychic,,,"Dragon, Fighting, Poison",Fighting
Normal,Dragon,Ice,,Fighting,"Dragon, Flying, Ground, Grass",Fighting
Normal,Dragon,,,Fighting,Dragon,Fighting
Normal,Dragon,Dark,Fighting,,"Dragon, Ghost, Psychic",Fighting
Normal,Dragon,Fairy,,,"Dragon, Fighting, Dark",Fighting
Normal,Dark,Normal,Fighting,,"Ghost, Psychic",Fighting
Normal,Dark,Fighting,Fighting,,"Ghost, Psychic, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Dark,Flying,,,"Ghost, Psychic, Fighting, Bug, Grass",Fighting
Normal,Dark,Poison,Fighting,,"Ghost, Psychic, Grass, Fairy",Fighting
Normal,Dark,Ground,Fighting,,"Ghost, Psychic, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Dark,Rock,Fighting,,"Ghost, Psychic, Flying, Bug, Fire, Ice",Fighting
Normal,Dark,Bug,Fighting,,"Ghost, Psychic, Grass, Dark",Fighting
Normal,Dark,Ghost,Fighting,,"Ghost, Psychic",Fighting
Normal,Dark,Steel,Fighting,,"Ghost, Psychic, Rock, Ice, Fairy",Fighting
Normal,Dark,Fire,Fighting,,"Ghost, Psychic, Bug, Steel, Grass, Ice",Fighting
Normal,Dark,Water,Fighting,,"Ghost, Psychic, Ground, Rock, Fire",Fighting
Normal,Dark,Grass,Fighting,,"Ghost, Psychic, Ground, Rock, Water",Fighting
Normal,Dark,Electric,Fighting,,"Ghost, Psychic, Flying, Water",Fighting
Normal,Dark,Psychic,,,"Ghost, Psychic, Fighting, Poison",Fighting
Normal,Dark,Ice,Fighting,,"Ghost, Psychic, Flying, Ground, Grass, Dragon",Fighting
Normal,Dark,Dragon,Fighting,,"Ghost, Psychic, Dragon",Fighting
Normal,Dark,,Fighting,,"Ghost, Psychic",Fighting
Normal,Dark,Fairy,,,"Ghost, Psychic, Fighting, Dragon, Dark",Fighting
Normal,Fairy,Normal,,,"Fighting, Dragon, Dark",Fighting
Normal,Fairy,Fighting,,,"Fighting, Dragon, Dark, Normal, Rock, Steel, Ice",Fighting
Normal,Fairy,Flying,,,"Fighting, Dragon, Dark, Bug, Grass",Fighting
Normal,Fairy,Poison,,,"Fighting, Dragon, Dark, Grass, Fairy",Fighting
